Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000217,2015-05-12,2020-04-08,"Known For:

Taxi Driver
Goodfellas
The Wolf of Wall Street
Raging Bull
The Departed

Next Film(s):

Killers of the Flower Moon",Martin Scorsese,Taxi Driver,1942-11-17
2,nm0634240,2015-05-12,2020-04-08,"Known For:

The Dark Knight
Inception
Interstellar
Dunkirk
The Prestige

Next Film(s):

Tenet",Christopher Nolan,Dunkirk,1970-07-30
3,nm0000233,2015-05-12,2020-04-08,"Known For: 

Pulp Fiction
Kill Bill
Inglourious Basterds
Django Unchained
Once Upon a Time ... in Hollywood

Next Film(s):

TBA
",Quentin Tarantino,Reservoir Dogs,1963-03-27
4,nm0000759,2015-05-12,2020-04-08,"Known For: 

Boogie Nights
There Will Be Blood
Phantom Thread
The Master
Magnolia

Next Film(s):

Untitled Child Actor Project",Paul Thomas Anderson,Punch-Drunk Love,1970-06-26
5,nm0000399,2015-05-12,2020-04-08,"Known For:

Seven
Fight Club
Zodiac
The Social Network
Gone Girl

Next Film(s):

Mank",David Fincher,Se7en,1962-08-28
6,nm0190859,2015-05-12,2020-05-22,"Known For: 

Y Tu Mama Tambien
Harry Potter and the Prisoner of Azkaban
Children of Men
Gravity
Roma

Next Film(s):

TBA",Alfonso Cuarón,Gravity,1961-11-28
7,nm0000229,2015-05-12,2020-04-08,"Known For:

Jaws
E.T.
Raiders of the Lost Ark
Schindler's List
Jurassic Park


Next Film(s):

West Side Story",Steven Spielberg,Schindler's List,1946-12-18
8,nm0000116,2015-05-12,2019-05-26,"Known For:

The Terminator
Aliens
T2: Judgement Day
Titanic
Avatar

Next Film(s):

Avatar 2
Avatar 3
Avatar 4
Avatar 5",James Cameron,Avatar,1954-08-16
9,nm0000631,2015-05-12,2020-04-08,"Known For: 

Alien
Blade Runner
The Martian
Gladiator
American Gangster

Next Film(s):

The Last Duel
",Ridley Scott,The Martian,1937-11-30
10,nm0027572,2015-05-12,2020-04-08,"Known For: 

The Royal Tenenbaums
The Grand Budapest Hotel
Rushmore
Moonrise Kingdom
Fantastic Mr. Fox


Next Film(s):

The French Dispatch",Wes Anderson,Fantastic Mr. Fox,1969-05-01
11,nm0327944,2015-05-12,2020-04-08,"Known For: 

Birdman
The Revenant
Babel
Amores Perros
21 Grams

Next Film(s):

TBA",Alejandro G. Iñárritu,The Revenant,1963-08-15
12,nm0000500,2015-05-12,2018-03-23,"Known For: 

Dazed and Confused
Before Trilogy
Boyhood

Next Film(s):

Where'd You Go, Bernadette?",Richard Linklater,Waking Life,1960-07-30
13,nm0426059,2015-05-12,2018-03-23,"Known For:

Brick
Looper
Star Wars: The Last Jedi

Next Film(s):

Untitled Star Wars Project",Rian Johnson,Knives Out,1973-12-17
14,nm0001054,2015-05-12,2020-04-08,"Known For: 

Miller's Crossing
Fargo
The Big Lebowski
No Country for Old Men
Inside Llewyn Davis

Next Film(s):

Macbeth",Joel Coen,The Ballad of Buster Scruggs,1954-11-29
15,nm0001053,2015-05-12,2019-05-26,"Known For: 

Miller's Crossing
Fargo
The Big Lebowski
No Country for Old Men
Inside Llewyn Davis

Next Film(s):

TBA",Ethan Coen,The Ballad of Buster Scruggs,1957-09-21
16,nm0716257,2015-05-12,2018-03-23,"Known For: 

Cloverfield
Dawn of the Planet of the Apes
War for the Planet of the Apes

Next Film(s):

The Batman",Matt Reeves,Let Me In,1966-04-27
17,nm0868219,2015-05-12,2018-03-23,"Known For: 

Hellboy
Pan's Labyrinth
The Shape of Water

Next Film(s):

TBA",Guillermo del Toro,El laberinto del fauno,1964-10-09
18,nm0009190,2015-05-12,2018-03-23,"Known For:

Mission: Impossible III
Star Trek
Star Wars: The Force Awakens

Next Film(s):

Star Wars: Episode IX",J.J. Abrams,Lost,1966-06-27
19,nm0942367,2015-05-12,2018-03-23,"Known For: 

Shaun of the Dead
Hot Fuzz
Baby Driver

Next Film(s):

TBA",Edgar Wright,Shaun of the Dead,1974-04-18
20,nm0000941,2015-05-12,2018-03-23,"Known For:

Point Break
The Hurt Locker
Zero Dark Thirty

Next Film(s):

TBA",Kathryn Bigelow,The Hurt Locker,1951-11-27
21,nm2588606,2015-05-12,2018-03-23,"Known For: 

Hunger
Shame
12 Years a Slave

Next Film(s):

Widows",Steve McQueen,12 Years a Slave,1969-10-09
22,nm3227090,2015-05-12,2018-03-23,"Known For:

Guy and Madeline on a Park Bench
Whiplash
La La Land

Next Film(s):

First Man",Damien Chazelle,La La Land,1985-01-19
23,nm1148550,2015-05-12,2018-03-23,"Known For:

Selma
13th
A Wrinkle in Time

Next Film(s):

Untitled DC New Gods Project",Ava DuVernay,Queen Sugar,1972-08-24
24,nm0307497,2015-05-12,2018-03-23,"Known For:

Dredd* (credited as writer)
Ex Machina
Annihilation

Next Film(s):

TBA
",Alex Garland,Ex Machina,1970-05-26
25,nm0000965,2015-05-12,2018-03-23,"Known For:

Trainspotting
Slumdog Millionaire
127 Hours

Next Film(s):

Untitled James Bond Project",Danny Boyle,127 Hours,1956-10-20
26,nm0898288,2015-05-12,2018-03-23,"Known For: 

Sicario
Arrival
Blade Runner 2049

Next Film(s):

Dune",Denis Villeneuve,Blade Runner 2049,1967-10-03
27,nm0094435,2015-05-12,2018-03-23,"Known For:

The Host
Snowpiercer
Okja

Next Film(s):

Parasite",Bong Joon Ho,Snowpiercer,1969-09-14
28,nm1490123,2015-05-12,2018-03-23,"Known For:

Saw
The Conjuring
Furious 7

Next Film(s):

Aquaman",James Wan,The Conjuring 2,1977-02-26
29,nm2158772,2015-05-12,2018-03-23,"Known For:

Take Shelter
Mud
Loving

Next Film(s):

Untitled Alien Nation Remake",Jeff Nichols,Take Shelter,1978-12-07
30,nm0004306,2015-05-12,2015-05-12,,George Miller,Mad Max: Fury Road,1945-03-03
31,nm0319659,2015-05-12,2015-05-12,,Dan Gilroy,Nightcrawler,1959-06-24
32,nm0668247,2015-05-12,2015-05-12,,Alexander Payne,Nebraska,1961-02-10
33,nm0004716,2015-05-12,2015-05-12,,Darren Aronofsky,Pi,1969-02-12
34,nm0001752,2015-05-12,2015-05-13,,Steven Soderbergh,"Sex, Lies, and Videotape",1963-01-14
35,nm0448768,2015-05-13,2015-05-13,"Known For: The Babadook

Upcoming: TBA",Jennifer Kent,The Babadook,
36,nm0001068,2017-09-12,2017-09-12,,Sofia Coppola,The Godfather: Part III,1971-05-14
37,nm0420941,2017-09-12,2017-09-12,,Patty Jenkins,Wonder Woman,1971-07-24
38,nm3363032,2017-09-12,2017-09-12,,Ryan Coogler,Black Panther,1986-05-23
39,nm0169806,2017-09-12,2017-09-12,,Taika Waititi,What We Do in the Shadows,1975-08-16
40,nm0487166,2017-09-12,2018-03-23,"Known For:

Dogtooth
The Lobster
The Killing of a Sacred Deer

Next Film(s):

The Favourite",Yorgos Lanthimos,The Lobster,1973-05-27
41,nm0345174,2017-09-12,2018-03-23,"Known For:

I Am Love
A Bigger Splash
Call Me by Your Name

Next Film(s):

Suspiria",Luca Guadagnino,Call Me by Your Name,1971-08-10
42,nm1443502,2017-09-12,2018-03-23,"Known For:

Get Out

Next Film(s):

Untitled Original Thriller",Jordan Peele,Get Out,1979-02-21
43,nm0003506,2017-09-12,2018-03-23,"Known For:

Cop Land
Walk the Line
Logan

Next Film(s):

Crenshaw
",James Mangold,Logan,1963-12-16
44,nm1732981,2017-09-12,2018-03-23,"Known For:

In Bruges
Seven Psychopaths
Three Billboards outside Ebbing, Missouri

Next Film(s):

TBA",Martin McDonagh,In Bruges,1970-03-26
45,nm0000948,2017-09-12,2017-09-12,,Shane Black,The Nice Guys,1961-12-16
46,nm1108007,2017-09-12,2017-09-12,,David Lowery,A Ghost Story,1980-12-26
47,nm1503575,2017-09-12,2017-09-12,,Barry Jenkins,If Beale Street Could Talk,1979-11-19
48,nm0570912,2017-09-12,2017-09-12,,Adam McKay,The Other Guys,1968-04-17
49,nm0336695,2017-09-12,2018-03-23,"Known For:

Two Lovers
The Immigrant
The Lost City of Z

Next Film(s):

Ad Astra",James Gray,Ad Astra,1969-04-14
50,nm0510731,2017-09-12,2017-09-12,,Doug Liman,Edge of Tomorrow,1965-07-24
51,nm0500610,2017-09-12,2017-09-12,,David Leitch,Deadpool 2,
52,nm0048918,2017-09-12,2017-09-12,,Sean Baker,Tangerine,
53,nm0000490,2017-09-12,2018-03-23,"Known For:

Do the Right Thing
Malcolm X
Inside Man

Next Film(s):
Black Klansman
Nightwatch",Spike Lee,Do the Right Thing,1957-03-20
54,nm0000876,2017-09-12,2018-03-23,"Known For:

Frances Ha
While We're Young
The Meyerowitz Stories (New and Selected)

Next Film(s):

Untitled Project w/ Scarlett Johansson
",Noah Baumbach,Marriage Story,1969-09-03
55,nm2011696,2017-09-12,2018-03-23,"Known For:

Paraiah
Mudbound

Next Film(s):

An Uncivil War",Dee Rees,Mudbound,
56,nm1950086,2018-03-23,2018-03-23,"Known For:

Lady Bird

Next Film(s):

TBA",Greta Gerwig,Lady Bird,1983-08-04
57,nm1793079,2018-03-23,2018-03-23,"Known For:

Evil Dead
Don't Breathe

Next Film(s):

The Girl in the Spider's Web",Fede Alvarez,Evil Dead,1978-02-09
